"Folder","FrontmatterName","DescriptionLength","IssueCount","Issues","Description"
"academic-research-suite","academic-research-suite","451","0","","Use when the user asks for academic research tasks: deep research, literature review, systematic review, meta-analysis, research question refinement, academic paper drafting or revision, citation checks, peer review, editorial decisions, research-to-paper pipelines, experiment planning, statistical interpretation, or human study protocol support. Also trigger on ARS aliases such as ars-plan, ars-outline, ars-lit-review, ars-reviewer, and ars-full."
"algorithmic-art","algorithmic-art","190","0","","Use when the user requests code-generated art, generative art, algorithmic art, p5.js sketches, seeded randomness, flow fields, particle systems, or interactive visual parameter exploration."
"babysit","babysit","188","0","","Watch a pull request or review cycle until it is ready to merge. Use when asked to babysit, monitor, or keep checking PR comments, reviews, and CI until all actionable issues are resolved."
"brand-guidelines","brand-guidelines","236","0","","Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply."
"canvas-design","canvas-design","231","0","","Use when the user asks to create a poster, visual art, static design, PNG/PDF design artifact, print piece, cover, composition, or typography-led visual deliverable. Use for original visual design even when the final export is PDF."
"claude-api","claude-api","326","0","","Use when code imports `anthropic` or `@anthropic-ai/sdk`, or when the user asks for Claude API, Anthropic SDK, Managed Agents, prompt caching, tool use, batch, files, citations, memory, model migration, or cache-hit debugging. Skip provider-neutral, OpenAI, or other-provider SDK work unless the user asks to switch to Claude."
"do","do","144","0","","Execute a phased implementation plan using subagents. Use when asked to execute, run, or carry out a plan — especially one created by make-plan."
"doc-coauthoring","doc-coauthoring","207","0","","Use when the user wants to co-author documentation, proposals, technical specs, decision docs, structured content, writing plans, draft refinement, reader-focused review, or iterative document collaboration."
"docx","docx","347","0","","Use when the user wants to create, read, edit, format, convert, or inspect Word documents (.docx), including reports, memos, letters, templates, headings, page numbers, tables of contents, images, tracked changes, comments, find-and-replace, or polished Word deliverables. Do not use for PDFs, spreadsheets, Google Docs, or unrelated coding tasks."
"frontend-design","frontend-design","399","0","","Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, React components, HTML/CSS layouts, or when styling/beautifying any web UI). Generates creative, polished code and UI design that avoids generic AI aesthetics."
"how-it-works","how-it-works","189","0","","Use when the user asks how claude-mem works, what it is doing, how observations are captured, when memory injection happens, where data lives, or how persistent memory is added to sessions."
"internal-comms","internal-comms","202","0","","Use when writing internal communications such as status reports, leadership updates, 3P updates, company newsletters, FAQs, incident reports, project updates, team announcements, or executive summaries."
"knowledge-agent","knowledge-agent","232","0","","Build and query AI-powered knowledge bases from claude-mem observations. Use when users want to create focused ""brains"" from their observation history, ask questions about past work patterns, or compile expertise on specific topics."
"learn-codebase","learn-codebase","208","0","","Prime a codebase by reading every source file in full. Use when starting work on a new or unfamiliar project, or when the user asks to ""learn the codebase"", ""read the codebase"", ""prime"", or ""get up to speed""."
"make-plan","make-plan","183","0","","Create a detailed, phased implementation plan with documentation discovery. Use when asked to plan a feature, task, or multi-step implementation — especially before executing with do."
"mama","mama","165","0","","Use when the user asks for 妈妈模式, 妈妈唠叨, mama mode, 唠叨模式, /pua:mama, /pua mama, or $pua-mama; applies a Chinese-mom nagging tone while preserving the same quality bar."
"mcp-builder","mcp-builder","277","0","","Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools. Use when building MCP servers to integrate external APIs or services, whether in Python (FastMCP) or Node/TypeScript (MCP SDK)."
"mem-search","mem-search","178","0","","Search claude-mem's persistent cross-session memory database. Use when user asks ""did we already solve this?"", ""how did we do X last time?"", or needs work from previous sessions."
"nanobanana","nanobanana","221","0","","Use when the user mentions Nano Banana, nanobanana, AI image editing, image generation, prompt-to-image iteration, image-to-image refinement, product mockups, visual concept generation, or local Nano Banana plugin assets."
